district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Mulugu,Eturnagaram,10.0,2024,0.0000,1.7008,0.00,batch_16
Mulugu,Govindaraopet,10.0,2024,0.2133,1.8940,0.00,batch_16
Mulugu,Kannaigudem,10.0,2024,0.0000,2.0547,0.00,batch_16
Mulugu,Mangapet,10.0,2024,0.2764,1.4903,0.00,batch_16
Mulugu,Mulug,10.0,2024,0.3867,1.8759,0.00,batch_16
Mulugu,Tadvai (Sammakka Sarakka),10.0,2024,0.1236,1.6382,0.00,batch_16
Mulugu,Venkatapur,10.0,2024,0.4321,1.9792,0.00,batch_16
Mulugu,Venkatapuram,10.0,2024,0.3853,1.8764,0.00,batch_16
Mulugu,Wazeed,10.0,2024,0.1754,2.0969,0.00,batch_16
Mulugu,Mallampally,10.0,2024,0.3767,1.7117,0.00,batch_16
Mulugu,Eturnagaram,12.0,2024,0.3271,0.2164,0.00,batch_16
Mulugu,Govindaraopet,12.0,2024,0.3295,0.1819,0.00,batch_16
Mulugu,Kannaigudem,12.0,2024,0.3747,0.2238,0.00,batch_16
Mulugu,Mangapet,12.0,2024,0.2758,0.2426,0.00,batch_16
Mulugu,Mulug,12.0,2024,0.2834,0.1674,0.00,batch_16
Mulugu,Tadvai (Sammakka Sarakka),12.0,2024,0.3886,0.2848,0.00,batch_16
Mulugu,Venkatapur,12.0,2024,0.3302,0.2090,0.00,batch_16
Mulugu,Venkatapuram,12.0,2024,0.3460,0.0979,0.00,batch_16
Mulugu,Wazeed,12.0,2024,0.3632,0.0084,0.00,batch_16
Mulugu,Mallampally,12.0,2024,0.2545,0.2495,0.00,batch_16
Nagarkurnool,Achampet,10.0,2024,0.3854,4.9813,0.00,batch_16
Nagarkurnool,Amrabad,10.0,2024,0.4313,5.9569,0.00,batch_16
Nagarkurnool,Balmoor,10.0,2024,0.3234,5.1668,0.00,batch_16
Nagarkurnool,Bijinapalle,10.0,2024,0.3958,3.0154,0.00,batch_16
Nagarkurnool,Charakonda,10.0,2024,0.3990,3.1380,0.00,batch_16
Nagarkurnool,Kodair,10.0,2024,0.3464,4.7399,0.00,batch_16
Nagarkurnool,Kollapur,10.0,2024,0.4202,5.3755,0.00,batch_16
Nagarkurnool,Kalwakurthy,10.0,2024,0.3650,3.0625,0.00,batch_16
Nagarkurnool,Padara,10.0,2024,0.3711,5.5335,0.00,batch_16
Nagarkurnool,Peddakothapalle,10.0,2024,0.3300,4.8848,0.00,batch_16
Nagarkurnool,Pentlavelli,10.0,2024,0.2469,4.7984,0.00,batch_16
Nagarkurnool,Tadoor,10.0,2024,0.3827,3.1350,0.00,batch_16
Nagarkurnool,Telkapalle,10.0,2024,0.3261,4.4357,0.00,batch_16
Nagarkurnool,Thimmajipeta,10.0,2024,0.3842,2.3495,0.00,batch_16
Nagarkurnool,Uppunuthala,10.0,2024,0.3208,4.5046,0.00,batch_16
Nagarkurnool,Urkonda,10.0,2024,0.3664,2.6064,0.00,batch_16
Nagarkurnool,Vangoor,10.0,2024,0.3479,3.6551,0.00,batch_16
Nagarkurnool,Veldanda,10.0,2024,0.3669,2.7864,0.00,batch_16
Nagarkurnool,Lingal,10.0,2024,0.3189,5.0728,0.00,batch_16
Nagarkurnool,Nagar_Kurnool,10.0,2024,0.3718,4.1036,0.00,batch_16
Nagarkurnool,Achampet,12.0,2024,0.3247,0.2588,0.00,batch_16
Nagarkurnool,Amrabad,12.0,2024,0.3536,0.4844,0.00,batch_16
Nagarkurnool,Balmoor,12.0,2024,0.3304,0.2650,0.00,batch_16
Nagarkurnool,Bijinapalle,12.0,2024,0.1632,0.1649,0.00,batch_16
Nagarkurnool,Charakonda,12.0,2024,0.2530,0.0447,0.00,batch_16
Nagarkurnool,Kodair,12.0,2024,0.2340,0.1020,0.00,batch_16
Nagarkurnool,Kollapur,12.0,2024,0.3072,0.3050,0.00,batch_16
Nagarkurnool,Kalwakurthy,12.0,2024,0.2555,0.1395,0.00,batch_16
Nagarkurnool,Padara,12.0,2024,0.2761,0.2568,0.00,batch_16
Nagarkurnool,Peddakothapalle,12.0,2024,0.2734,0.1331,0.00,batch_16
Nagarkurnool,Pentlavelli,12.0,2024,0.1500,0.1403,0.00,batch_16
Nagarkurnool,Tadoor,12.0,2024,0.2285,0.1526,0.00,batch_16
Nagarkurnool,Telkapalle,12.0,2024,0.2602,0.1620,0.00,batch_16
Nagarkurnool,Thimmajipeta,12.0,2024,0.1736,0.1538,0.00,batch_16
Nagarkurnool,Uppunuthala,12.0,2024,0.2992,0.1344,0.00,batch_16
Nagarkurnool,Urkonda,12.0,2024,0.2289,0.1549,0.00,batch_16
Nagarkurnool,Vangoor,12.0,2024,0.2914,0.0377,0.00,batch_16
Nagarkurnool,Veldanda,12.0,2024,0.2745,0.1165,0.00,batch_16
Nagarkurnool,Lingal,12.0,2024,0.3212,0.2539,0.00,batch_16
Nagarkurnool,Nagar_Kurnool,12.0,2024,0.2289,0.1553,0.00,batch_16
