district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Kamareddy,Banswada,10.0,2024,0.3589,1.8068,0.00,batch_8
Kamareddy,Bhiknoor,10.0,2024,0.0000,2.1193,0.00,batch_8
Kamareddy,Bibipet,10.0,2024,0.0000,2.0031,0.00,batch_8
Kamareddy,Gandhari,10.0,2024,0.3654,1.7970,0.00,batch_8
Kamareddy,Jukkal,10.0,2024,0.4032,1.9478,0.00,batch_8
Kamareddy,Kamareddy,10.0,2024,0.0787,2.1417,0.00,batch_8
Kamareddy,Lingampet,10.0,2024,0.3861,2.0335,0.00,batch_8
Kamareddy,Machareddy,10.0,2024,0.0000,2.0407,0.00,batch_8
Kamareddy,Madnur,10.0,2024,0.3476,1.9646,0.00,batch_8
Kamareddy,Nagi_Reddypet,10.0,2024,0.3501,2.2574,0.00,batch_8
Kamareddy,Nasurullabad,10.0,2024,0.3479,1.7854,0.00,batch_8
Kamareddy,Nizamsagar,10.0,2024,0.2131,2.2069,0.00,batch_8
Kamareddy,Pedda Kodapgal,10.0,2024,0.3672,1.6797,0.00,batch_8
Kamareddy,Rajampet,10.0,2024,0.2225,2.2561,0.00,batch_8
Kamareddy,Ramareddy,10.0,2024,0.0851,2.3194,0.00,batch_8
Kamareddy,Sadashivnagar,10.0,2024,0.4089,1.9181,0.00,batch_8
Kamareddy,Tadwai,10.0,2024,0.3441,2.1136,0.00,batch_8
Kamareddy,Yellareddy,10.0,2024,0.3791,2.1332,0.00,batch_8
Kamareddy,Domakonda,10.0,2024,0.0000,2.1102,0.00,batch_8
Kamareddy,Pitlam,10.0,2024,0.3973,1.8460,0.00,batch_8
Kamareddy,Bichkunda,10.0,2024,0.3442,1.8133,0.00,batch_8
Kamareddy,Birkoor,10.0,2024,0.3192,1.8759,0.00,batch_8
Kamareddy,Dongli,10.0,2024,0.2830,1.8826,0.00,batch_8
Kamareddy,Palwancha,10.0,2024,0.0000,2.0490,0.00,batch_8
Kamareddy,Mohammadnagar,10.0,2024,0.4120,1.9650,0.00,batch_8
Kamareddy,Banswada,12.0,2024,0.2052,0.0000,0.00,batch_8
Kamareddy,Bhiknoor,12.0,2024,0.1981,0.1285,0.00,batch_8
Kamareddy,Bibipet,12.0,2024,0.1507,0.1700,0.00,batch_8
Kamareddy,Gandhari,12.0,2024,0.2449,0.0415,0.00,batch_8
Kamareddy,Jukkal,12.0,2024,0.3323,0.0053,0.00,batch_8
Kamareddy,Kamareddy,12.0,2024,0.1774,0.1097,0.00,batch_8
Kamareddy,Lingampet,12.0,2024,0.2148,0.0299,0.00,batch_8
Kamareddy,Machareddy,12.0,2024,0.2062,0.1369,0.00,batch_8
Kamareddy,Madnur,12.0,2024,0.3542,0.0795,0.00,batch_8
Kamareddy,Nagi_Reddypet,12.0,2024,0.1760,0.0265,0.00,batch_8
Kamareddy,Nasurullabad,12.0,2024,0.2140,0.0651,0.00,batch_8
Kamareddy,Nizamsagar,12.0,2024,0.0997,0.0003,0.00,batch_8
Kamareddy,Pedda Kodapgal,12.0,2024,0.2393,0.0000,0.00,batch_8
Kamareddy,Rajampet,12.0,2024,0.2368,0.0781,0.00,batch_8
Kamareddy,Ramareddy,12.0,2024,0.2362,0.1731,0.00,batch_8
Kamareddy,Sadashivnagar,12.0,2024,0.2502,0.0637,0.00,batch_8
Kamareddy,Tadwai,12.0,2024,0.2520,0.0631,0.00,batch_8
Kamareddy,Yellareddy,12.0,2024,0.2219,0.0000,0.00,batch_8
Kamareddy,Domakonda,12.0,2024,0.1821,0.1657,0.00,batch_8
Kamareddy,Pitlam,12.0,2024,0.2177,0.0281,0.00,batch_8
Kamareddy,Bichkunda,12.0,2024,0.2590,0.0661,0.00,batch_8
Kamareddy,Birkoor,12.0,2024,0.1348,0.1084,0.00,batch_8
Kamareddy,Dongli,12.0,2024,0.2975,0.1743,0.00,batch_8
Kamareddy,Palwancha,12.0,2024,0.1887,0.1826,0.00,batch_8
Kamareddy,Mohammadnagar,12.0,2024,0.2235,0.0000,0.00,batch_8
Karimnagar,Chigurumamidi,10.0,2024,0.3956,1.6841,0.00,batch_8
Karimnagar,Choppadandi,10.0,2024,0.3316,1.2144,0.00,batch_8
Karimnagar,Ellandakunta,10.0,2024,0.4523,1.7140,0.00,batch_8
Karimnagar,Gangadhara,10.0,2024,0.0000,1.1689,0.00,batch_8
Karimnagar,Ganneruvaram,10.0,2024,0.0053,1.6868,0.00,batch_8
Karimnagar,Huzurabad,10.0,2024,0.3864,1.7975,0.00,batch_8
Karimnagar,Jammikunta,10.0,2024,0.4077,1.6746,0.00,batch_8
Karimnagar,Karimnagar,10.0,2024,0.0907,1.6553,0.00,batch_8
Karimnagar,Karimnagar_Rural,10.0,2024,0.3756,1.5383,0.00,batch_8
Karimnagar,Kothapally,10.0,2024,0.0181,1.4312,0.00,batch_8
Karimnagar,Manakondur,10.0,2024,0.3051,1.6529,0.00,batch_8
Karimnagar,Ramadugu,10.0,2024,0.0342,1.1688,0.00,batch_8
Karimnagar,Shankarapatnam,10.0,2024,0.3548,1.6821,0.00,batch_8
Karimnagar,Thimmapur,10.0,2024,0.2997,1.5540,0.00,batch_8
Karimnagar,V Saidapur,10.0,2024,0.3981,1.8276,0.00,batch_8
Karimnagar,Veenavanka,10.0,2024,0.3658,1.7387,0.00,batch_8
Karimnagar,Chigurumamidi,12.0,2024,0.2119,0.2601,0.00,batch_8
Karimnagar,Choppadandi,12.0,2024,0.2035,0.2035,0.00,batch_8
Karimnagar,Ellandakunta,12.0,2024,0.2065,0.3199,0.00,batch_8
Karimnagar,Gangadhara,12.0,2024,0.2087,0.1727,0.00,batch_8
Karimnagar,Ganneruvaram,12.0,2024,0.1304,0.1899,0.00,batch_8
Karimnagar,Huzurabad,12.0,2024,0.1629,0.2906,0.00,batch_8
Karimnagar,Jammikunta,12.0,2024,0.1951,0.3134,0.00,batch_8
Karimnagar,Karimnagar,12.0,2024,0.1118,0.1460,0.00,batch_8
Karimnagar,Karimnagar_Rural,12.0,2024,0.1963,0.1568,0.00,batch_8
Karimnagar,Kothapally,12.0,2024,0.1798,0.1075,0.00,batch_8
Karimnagar,Manakondur,12.0,2024,0.1635,0.2555,0.00,batch_8
Karimnagar,Ramadugu,12.0,2024,0.2192,0.1700,0.00,batch_8
Karimnagar,Shankarapatnam,12.0,2024,0.1414,0.2823,0.00,batch_8
Karimnagar,Thimmapur,12.0,2024,0.1615,0.2584,0.00,batch_8
Karimnagar,V Saidapur,12.0,2024,0.2116,0.2552,0.00,batch_8
Karimnagar,Veenavanka,12.0,2024,0.1588,0.2977,0.00,batch_8
Khammam,Bonakal,10.0,2024,0.4104,2.7035,0.00,batch_8
Khammam,Chintakani,10.0,2024,0.3687,2.8720,0.00,batch_8
Khammam,Enkoor,10.0,2024,0.4689,2.3100,0.00,batch_8
Khammam,Kalluru,10.0,2024,0.4522,2.4745,0.00,batch_8
Khammam,Kamepally,10.0,2024,0.4209,2.1035,0.00,batch_8
Khammam,Khammam_Rural,10.0,2024,0.4052,2.3466,0.00,batch_8
Khammam,Khammam_Urban,10.0,2024,0.3395,2.6309,0.00,batch_8
Khammam,Konijerla,10.0,2024,0.3896,2.7033,0.00,batch_8
Khammam,Kusumanchi,10.0,2024,0.4148,2.4673,0.00,batch_8
Khammam,Madhira,10.0,2024,0.4011,2.7332,0.00,batch_8
Khammam,Mudigonda,10.0,2024,0.4227,2.9402,0.00,batch_8
Khammam,Nelakondapally,10.0,2024,0.4442,2.7905,0.00,batch_8
Khammam,Penuballi,10.0,2024,0.4273,2.5683,0.00,batch_8
Khammam,Raghunadhapalem,10.0,2024,0.4039,2.4020,0.00,batch_8
Khammam,Sathupally,10.0,2024,0.3799,2.5191,0.00,batch_8
Khammam,Singareni,10.0,2024,0.4382,2.0371,0.00,batch_8
Khammam,Thallada,10.0,2024,0.4150,2.4777,0.00,batch_8
Khammam,Tirumalayapalem,10.0,2024,0.4242,2.2785,0.00,batch_8
Khammam,Vemsoor,10.0,2024,0.4043,2.4988,0.00,batch_8
Khammam,Wyra,10.0,2024,0.4253,2.6383,0.00,batch_8
Khammam,Yerrupalem,10.0,2024,0.3697,2.7538,0.00,batch_8
Khammam,Bonakal,12.0,2024,0.3462,0.2994,0.00,batch_8
Khammam,Chintakani,12.0,2024,0.2800,0.2315,0.00,batch_8
Khammam,Enkoor,12.0,2024,0.3422,0.1826,0.00,batch_8
Khammam,Kalluru,12.0,2024,0.2939,0.2733,0.00,batch_8
Khammam,Kamepally,12.0,2024,0.3336,0.2958,0.00,batch_8
Khammam,Khammam_Rural,12.0,2024,0.2689,0.2021,0.00,batch_8
Khammam,Khammam_Urban,12.0,2024,0.2092,0.1381,0.00,batch_8
Khammam,Konijerla,12.0,2024,0.2856,0.2066,0.00,batch_8
Khammam,Kusumanchi,12.0,2024,0.2263,0.2706,0.00,batch_8
Khammam,Madhira,12.0,2024,0.3679,0.3060,0.00,batch_8
Khammam,Mudigonda,12.0,2024,0.2635,0.2222,0.00,batch_8
Khammam,Nelakondapally,12.0,2024,0.1913,0.2154,0.00,batch_8
Khammam,Penuballi,12.0,2024,0.2677,0.2822,0.00,batch_8
Khammam,Raghunadhapalem,12.0,2024,0.3088,0.1925,0.00,batch_8
Khammam,Sathupally,12.0,2024,0.2759,0.3145,0.00,batch_8
Khammam,Singareni,12.0,2024,0.3182,0.3390,0.00,batch_8
Khammam,Thallada,12.0,2024,0.2349,0.3021,0.00,batch_8
Khammam,Tirumalayapalem,12.0,2024,0.2908,0.2301,0.00,batch_8
Khammam,Vemsoor,12.0,2024,0.2511,0.3396,0.00,batch_8
Khammam,Wyra,12.0,2024,0.2999,0.3140,0.00,batch_8
Khammam,Yerrupalem,12.0,2024,0.3673,0.1919,0.00,batch_8
Kumurambheem Asifabad,Asifabad,10.0,2024,0.4087,1.2875,0.00,batch_8
Kumurambheem Asifabad,Bejjur,10.0,2024,0.4313,0.9428,0.00,batch_8
Kumurambheem Asifabad,Chintalamanepally,10.0,2024,0.4083,0.9387,0.00,batch_8
Kumurambheem Asifabad,Dahegaon,10.0,2024,0.3586,0.9806,0.00,batch_8
Kumurambheem Asifabad,Jainoor,10.0,2024,0.3149,1.2198,0.00,batch_8
Kumurambheem Asifabad,Kagaznagar,10.0,2024,0.4293,1.1352,0.00,batch_8
Kumurambheem Asifabad,Kerameri,10.0,2024,0.2655,1.2186,0.00,batch_8
Kumurambheem Asifabad,Kouthala,10.0,2024,0.4024,1.0975,0.00,batch_8
Kumurambheem Asifabad,Lingapur,10.0,2024,0.1067,1.1412,0.00,batch_8
Kumurambheem Asifabad,Penchikalpet,10.0,2024,0.3908,0.9920,0.00,batch_8
Kumurambheem Asifabad,Rebbena,10.0,2024,0.4700,1.1823,0.00,batch_8
Kumurambheem Asifabad,Sirpur_T,10.0,2024,0.4231,1.2823,0.00,batch_8
Kumurambheem Asifabad,Sirpur_U,10.0,2024,0.2485,1.2502,0.00,batch_8
Kumurambheem Asifabad,Tiryani,10.0,2024,0.3229,1.3679,0.00,batch_8
Kumurambheem Asifabad,Wankidi,10.0,2024,0.4402,1.1229,0.00,batch_8
Kumurambheem Asifabad,Asifabad,12.0,2024,0.3130,0.0248,0.00,batch_8
Kumurambheem Asifabad,Bejjur,12.0,2024,0.3129,0.1719,0.00,batch_8
Kumurambheem Asifabad,Chintalamanepally,12.0,2024,0.2933,0.1772,0.00,batch_8
Kumurambheem Asifabad,Dahegaon,12.0,2024,0.2906,0.0868,0.00,batch_8
Kumurambheem Asifabad,Jainoor,12.0,2024,0.3134,0.0233,0.00,batch_8
Kumurambheem Asifabad,Kagaznagar,12.0,2024,0.3133,0.0270,0.00,batch_8
Kumurambheem Asifabad,Kerameri,12.0,2024,0.3126,0.0000,0.00,batch_8
Kumurambheem Asifabad,Kouthala,12.0,2024,0.2845,0.1429,0.00,batch_8
Kumurambheem Asifabad,Lingapur,12.0,2024,0.2977,0.0330,0.00,batch_8
Kumurambheem Asifabad,Penchikalpet,12.0,2024,0.3180,0.1441,0.00,batch_8
Kumurambheem Asifabad,Rebbena,12.0,2024,0.3033,0.1107,0.00,batch_8
Kumurambheem Asifabad,Sirpur_T,12.0,2024,0.3273,0.0194,0.00,batch_8
Kumurambheem Asifabad,Sirpur_U,12.0,2024,0.3100,0.1220,0.00,batch_8
Kumurambheem Asifabad,Tiryani,12.0,2024,0.3221,0.0680,0.00,batch_8
Kumurambheem Asifabad,Wankidi,12.0,2024,0.3059,0.0143,0.00,batch_8
Mahabubabad,Bayyaram,10.0,2024,0.3758,2.0641,0.00,batch_8
Mahabubabad,Chinnagudur,10.0,2024,0.3976,2.2681,0.00,batch_8
Mahabubabad,Danthalapalle,10.0,2024,0.4262,2.3788,0.00,batch_8
Mahabubabad,Dornakal,10.0,2024,0.4033,1.9641,0.00,batch_8
Mahabubabad,Gangaram,10.0,2024,0.3023,1.9673,0.00,batch_8
Mahabubabad,Garla,10.0,2024,0.4147,1.8417,0.00,batch_8
Mahabubabad,Gudur,10.0,2024,0.4369,2.1583,0.00,batch_8
Mahabubabad,Kesamudram,10.0,2024,0.3954,2.3499,0.00,batch_8
Mahabubabad,Kothaguda,10.0,2024,0.3381,1.8466,0.00,batch_8
Mahabubabad,Kuravi,10.0,2024,0.3844,2.1283,0.00,batch_8
Mahabubabad,Mahabubabad,10.0,2024,0.3724,2.2394,0.00,batch_8
Mahabubabad,Maripeda,10.0,2024,0.4158,2.2797,0.00,batch_8
Mahabubabad,Narsimhulapet,10.0,2024,0.4183,2.2624,0.00,batch_8
Mahabubabad,Nellikudur,10.0,2024,0.4209,2.3787,0.00,batch_8
Mahabubabad,Peddavangara,10.0,2024,0.4240,2.3365,0.00,batch_8
Mahabubabad,Thorrur,10.0,2024,0.4281,2.3911,0.00,batch_8
